ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7D12|8|8067501|10|28715|85250|78301|15|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921222||0
7D12|10|8067501|10|28715|85250|78301|4|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921224||0
7D12|9|8067501|10|28715|85250|78301|4|619|139.700000|10.540000|3.63|33.49|22/05/2030 05:30:21|54.84|D0921226||0
7D12|12|5067605|20|58455|85127|0|4|668|196.850000|15.110000|4.67|33.49|22/05/2030 05:30:21|54.84|D0891634||0
7D12|13|5067605|20|58455|85127|0|1|668|196.850000|15.110000|4.67|33.49|22/05/2030 05:30:21|54.84|D0891603||0
7D12|15|0946732|20|28352|11945|999999|5|619|127.000000|11.100000|3.40|33.49|22/05/2030 05:30:21|54.84|D0922642||0
7D12|14|0946732|20|28352|11945|999999|1|619|127.000000|11.100000|3.40|33.49|22/05/2030 05:30:21|54.84|D0922643||0
7C7|1|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837714||0
7C7|2|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837715||0
7C7|3|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837716||0
7C7|4|5191204|10|57142|50013|0|2|651|219.100000|23.010000|5.07|111.16|22/05/2030 05:30:21|148.92|E1835884||0
7C7|5|5191204|10|56196|50013|0|1|651|219.100000|23.010000|5.07|111.16|22/05/2030 05:30:21|148.92|E1835882||0
7C7|6|5191204|10|52166|50013|0|1|651|219.100000|23.010000|5.07|111.16|22/05/2030 05:30:21|148.92|E1835883||0
7C7|7|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837717||0
7C7|8|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837718||0
7C7|9|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837719||0
7C7|10|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837720||0
7C7|11|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837721||0
7C7|12|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837722||0
7C7|13|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837723||0
7C7|14|8076701|20|59758|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837724||0
7C7|15|8076701|20|59758|85426|999999|9|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837725||0
7C7|16|8076701|20|59759|85426|999999|4|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837726||0
7C7|17|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837727||0
7C7|18|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837728||0
7C7|19|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837729||0
7C7|20|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837730||0
7C7|21|8076701|20|59759|85426|999999|13|714|193.680000|7.620000|4.61|111.16|22/05/2030 05:30:21|148.92|E1837731||0
